pair_id,principle_a,principle_b,shared_surface,shared_surface_note,mechanism,mechanism_note,material_consequence,consequence_note,primary_type,secondary_types,evidence_grade,counterexample,context_dependence,confidence,disposition,dossier,journal_refs
P061,Rule of Three,Occam's Razor,pass,Both affect evidence required before introducing an abstraction entity.,fail,Rejected hypothesis: Concrete cases expose supported commonality; until then Occam treats the generalized concept as an unsupported assumption.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P061-rule-of-three-occam-s-razor.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P062,Rule of Three,Principle of Least Power,pass,Both affect selection of an abstraction's expressive mechanism.,fail,"Rejected hypothesis: Observed cases reveal the operations and variation the extracted mechanism must express, allowing selection of the least power that actually suffices.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P062-rule-of-three-principle-of-least-power.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P063,Rule of Three,Separation of Concerns,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Separation of Concerns governs logical boundaries between kinds of decisions. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning logical boundaries between kinds of decisions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P064,Rule of Three,Single Responsibility Principle,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Single Responsibility Principle governs module cohesion around reasons for change. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning module cohesion around reasons for change arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P065,Rule of Three,Composition over Inheritance,pass,Causally connected decisions: Rule of Three governs timing and scope of abstraction; Composition over Inheritance governs reuse and variation mechanism.,pass,Multiple concrete variants reveal independent axes of behavior and whether composition will reduce subclass combinations.,pass,"The team keeps early behavior direct, then composes the smallest stable varying functions when the axes are observed.",Sequencing,,Convergent,A framework-mandated composition point is already a stable external contract.,Applies when a strategy hierarchy is proposed from a single implementation.,high,publish,pair-dossiers/P065-rule-of-three-composition-over-inheritance.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P066,Rule of Three,Convention over Configuration,pass,Causally connected decisions: Rule of Three governs timing and scope of abstraction; Convention over Configuration governs routine defaults versus explicit exceptions.,pass,Observed repeated choices supply evidence for selecting a dominant convention; designing the convention before examples predicts the wrong default and exceptions.,pass,"Teams inventory real variants first, then standardize the common case and retain narrow overrides.",Sequencing,,Convergent,An ecosystem framework convention can be adopted immediately because evidence exists outside the repository.,Applies when a local convention is being introduced from too few real cases.,high,publish,pair-dossiers/P066-rule-of-three-convention-over-configuration.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P067,Rule of Three,Unix Philosophy,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Unix Philosophy governs component scope and composition interface. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning component scope and composition interface arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P068,Rule of Three,"Functional Core, Imperative Shell",fail,"Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Functional Core, Imperative Shell governs placement of deterministic decisions and effects. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning placement of deterministic decisions and effects arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P069,Rule of Three,Negative Code,pass,Both affect when temporary duplication can be replaced and removed.,fail,"Rejected hypothesis: After cases reveal a stable concept, extraction permits safe removal of duplicated implementation and glue.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P069-rule-of-three-negative-code.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P070,Rule of Three,Dead Code Elimination,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Dead Code Elimination governs liveness within the supported system boundary. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning liveness within the supported system boundary arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P071,Rule of Three,Refactoring Toward Primitives,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Refactoring Toward Primitives governs replacement of custom code by existing capabilities. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning replacement of custom code by existing capabilities arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P072,Rule of Three,Dependency Inversion Principle,pass,Causally connected decisions: Rule of Three governs timing and scope of abstraction; Dependency Inversion Principle governs contract ownership and source-dependency direction.,pass,"Repeated implementations can evidence variation, but one current volatile boundary can justify inversion earlier; the rule prevents interface-per-class ritual.",pass,The team bases inversion on observed volatility or multiple implementations rather than an arbitrary count.,Moderation,Sequencing,Convergent,One external payment SDK can justify a boundary because its vendor types already infect stable policy.,Applies when a policy-owned interface is proposed without demonstrated boundary value.,high,publish,pair-dossiers/P072-rule-of-three-dependency-inversion-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P073,Rule of Three,Data-Driven Design,pass,Causally connected decisions: Rule of Three governs timing and scope of abstraction; Data-Driven Design governs representation of regular variation as data or control flow.,pass,Several regular branches reveal the common algorithm and varying dimensions needed for a table.,pass,Cases are laid side by side before extracting one typed data representation and lookup.,Sequencing,,Convergent,A published protocol mapping can provide the stable case set before three local branches exist.,Applies when a table schema is being invented before regular variation is understood.,high,publish,pair-dossiers/P073-rule-of-three-data-driven-design.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P074,Rule of Three,Make Illegal States Unrepresentable,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Make Illegal States Unrepresentable governs representation and enforcement of stable invariants. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning representation and enforcement of stable invariants arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P075,Rule of Three,"Parse, Don't Validate",fail,"Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Parse, Don't Validate governs conversion of raw input into trusted domain values. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning conversion of raw input into trusted domain values arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P076,Rule of Three,"Tell, Don't Ask",pass,Both affect when callers reveal a stable domain command.,fail,Rejected hypothesis: Repeated query-decide-mutate sequences expose the invariant and outcome needed from the owner.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P076-rule-of-three-tell-don-t-ask.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P077,Rule of Three,Law of Demeter,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Law of Demeter governs knowledge of collaborators' internal structure. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning knowledge of collaborators' internal structure arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P078,Rule of Three,Boy Scout Rule,fail,Distinct operational decisions: Rule of Three governs timing and scope of abstraction; Boy Scout Rule governs scope and timing of incidental local cleanup. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Rule of Three to timing and scope of abstraction while no decision concerning scope and timing of incidental local cleanup arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P079,Occam's Razor,Principle of Least Power,pass,Causally connected decisions: Occam's Razor governs selection among equally adequate designs or explanations; Principle of Least Power governs expressive power of the chosen mechanism.,pass,"Among adequate mechanisms, the less expressive option commonly introduces fewer unsupported behaviors and assumptions.",pass,A constrained data or query mechanism wins when arbitrary code supplies no required capability.,Reinforcement,,Convergent,A weaker language requiring a hidden custom interpreter introduces more entities and is not the parsimonious choice.,Applies when candidate mechanisms express the same complete requirement.,high,publish,pair-dossiers/P079-occam-s-razor-principle-of-least-power.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P080,Occam's Razor,Separation of Concerns,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Separation of Concerns governs logical boundaries between kinds of decisions. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning logical boundaries between kinds of decisions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P081,Occam's Razor,Single Responsibility Principle,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Single Responsibility Principle governs module cohesion around reasons for change. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning module cohesion around reasons for change arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P082,Occam's Razor,Composition over Inheritance,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Composition over Inheritance governs reuse and variation mechanism. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning reuse and variation mechanism arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P083,Occam's Razor,Convention over Configuration,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Convention over Configuration governs routine defaults versus explicit exceptions. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning routine defaults versus explicit exceptions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P084,Occam's Razor,Unix Philosophy,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Unix Philosophy governs component scope and composition interface. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning component scope and composition interface arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P085,Occam's Razor,"Functional Core, Imperative Shell",fail,"Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Functional Core, Imperative Shell governs placement of deterministic decisions and effects. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning placement of deterministic decisions and effects arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P086,Occam's Razor,Negative Code,pass,Both affect removal of unsupported design entities.,fail,"Rejected hypothesis: Once evidence shows machinery is unnecessary to the contract, Negative Code removes the entities Occam would not posit.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P086-occam-s-razor-negative-code.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P087,Occam's Razor,Dead Code Elimination,pass,Both affect whether an artifact has evidence of observable relevance.,fail,Rejected hypothesis: Proof that code cannot affect supported outcomes removes any evidential basis for retaining it.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P087-occam-s-razor-dead-code-elimination.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P088,Occam's Razor,Refactoring Toward Primitives,pass,Causally connected decisions: Occam's Razor governs selection among equally adequate designs or explanations; Refactoring Toward Primitives governs replacement of custom code by existing capabilities.,pass,A matching platform primitive can satisfy the same contract with fewer project-owned assumptions and moving parts.,pass,The design removes custom machinery after verifying that the primitive is adequate across edge cases and lifecycle cost.,Reinforcement,,Convergent,A platform API with incompatible errors and lock-in is not an equally adequate simpler account.,Applies when custom and primitive-based implementations meet the same contract.,high,publish,pair-dossiers/P088-occam-s-razor-refactoring-toward-primitives.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P089,Occam's Razor,Dependency Inversion Principle,pass,Both affect whether volatility evidence justifies an abstract port.,fail,"Rejected hypothesis: Occam rejects a policy/detail contract based only on an imagined provider, but accepts it when current volatility or isolation evidence explains the entity.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P089-occam-s-razor-dependency-inversion-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P090,Occam's Razor,Data-Driven Design,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Data-Driven Design governs representation of regular variation as data or control flow. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning representation of regular variation as data or control flow arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P091,Occam's Razor,Make Illegal States Unrepresentable,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Make Illegal States Unrepresentable governs representation and enforcement of stable invariants. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning representation and enforcement of stable invariants arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P092,Occam's Razor,"Parse, Don't Validate",pass,Both affect treatment of assumptions about untrusted input.,fail,Rejected hypothesis: Parsing replaces downstream unsupported assumptions with an explicit proof carried by a precise value.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P092-occam-s-razor-parse-don-t-validate.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P093,Occam's Razor,"Tell, Don't Ask",fail,"Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Tell, Don't Ask governs ownership of state-dependent decisions and transitions. The profiles do not establish a shared or causal decision surface.",fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning ownership of state-dependent decisions and transitions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P094,Occam's Razor,Law of Demeter,pass,Both affect assumptions a caller makes about collaborator structure.,fail,Rejected hypothesis: Replacing object-graph navigation with a meaningful nearby operation removes assumptions about nested ownership and layout.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P094-occam-s-razor-law-of-demeter.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P095,Occam's Razor,Boy Scout Rule,fail,Distinct operational decisions: Occam's Razor governs selection among equally adequate designs or explanations; Boy Scout Rule governs scope and timing of incidental local cleanup. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Occam's Razor to selection among equally adequate designs or explanations while no decision concerning scope and timing of incidental local cleanup arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P096,Principle of Least Power,Separation of Concerns,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Separation of Concerns governs logical boundaries between kinds of decisions. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning logical boundaries between kinds of decisions arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P097,Principle of Least Power,Single Responsibility Principle,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Single Responsibility Principle governs module cohesion around reasons for change. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning module cohesion around reasons for change arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P098,Principle of Least Power,Composition over Inheritance,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Composition over Inheritance governs reuse and variation mechanism. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning reuse and variation mechanism arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P099,Principle of Least Power,Convention over Configuration,pass,Both affect representation of routine choices and exceptions.,fail,Rejected hypothesis: Convention eliminates a mechanism for the dominant case; the remaining override can use the least expressive representation that suffices.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P099-principle-of-least-power-convention-over-configuration.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P100,Principle of Least Power,Unix Philosophy,pass,Both affect expressiveness of component interfaces.,fail,Rejected hypothesis: Constrained composable values or standard streams expose less arbitrary behavior than embedding callers or scripts in each component.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P100-principle-of-least-power-unix-philosophy.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P101,Principle of Least Power,"Functional Core, Imperative Shell",pass,Both affect where effectful expressive power is permitted.,fail,"Rejected hypothesis: The shell confines I/O and mutation while the core uses value-to-value logic, limiting powerful effects to the boundary that requires them.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P101-principle-of-least-power-functional-core-imperative-shell.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P102,Principle of Least Power,Negative Code,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Negative Code governs net removal of owned machinery while preserving contract. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning net removal of owned machinery while preserving contract arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P103,Principle of Least Power,Dead Code Elimination,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Dead Code Elimination governs liveness within the supported system boundary. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning liveness within the supported system boundary arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P104,Principle of Least Power,Refactoring Toward Primitives,pass,Causally connected decisions: Principle of Least Power governs expressive power of the chosen mechanism; Refactoring Toward Primitives governs replacement of custom code by existing capabilities.,fail,"Adversarial rejection: The claim that primitives are often constrained is contingent coincidence: existing capabilities may be more expressive, and Least Power may favor a custom declarative form. Neither principle causally changes the other's decision.",fail,"No pair-specific, context-independent implementation or review consequence survived adversarial review.",Independence,,Unsupported,A regular expression is not an adequate primitive for a nested grammar that requires a parser.,Applies when the platform primitive fully supplies the required semantics.,high,reject,pair-dossiers/P104-principle-of-least-power-refactoring-toward-primitives.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P105,Principle of Least Power,Dependency Inversion Principle,pass,Both affect expressiveness of a policy-owned contract.,fail,Rejected hypothesis: A narrow domain-shaped port exposes only capabilities policy requires rather than a powerful vendor API.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P105-principle-of-least-power-dependency-inversion-principle.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P106,Principle of Least Power,Data-Driven Design,pass,Causally connected decisions: Principle of Least Power governs expressive power of the chosen mechanism; Data-Driven Design governs representation of regular variation as data or control flow.,pass,Moving regular variation from executable branches into validated data reduces expressive power while keeping the decision space visible.,pass,A typed table replaces repeated control flow only where one algorithm interprets all rows.,Reinforcement,,Convergent,A callback-filled rules table is still executable behavior and gains no least-power advantage.,Applies when variation is regular and can be represented without arbitrary callbacks.,high,publish,pair-dossiers/P106-principle-of-least-power-data-driven-design.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P107,Principle of Least Power,Make Illegal States Unrepresentable,pass,Causally connected decisions: Principle of Least Power governs expressive power of the chosen mechanism; Make Illegal States Unrepresentable governs representation and enforcement of stable invariants.,pass,A representation that cannot express invalid combinations has less power in exactly the domain dimension that creates defensive work.,pass,"The implementation chooses a constrained sum type, set, map, or constructor over a broad bag of optional fields.",Reinforcement,,Convergent,Encoding a mutable remote fact in a static type overclaims what the representation can guarantee.,Applies when stable illegal combinations can be excluded by an ordinary representation.,high,publish,pair-dossiers/P107-principle-of-least-power-make-illegal-states-unrepresentable.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P108,Principle of Least Power,"Parse, Don't Validate",pass,"Causally connected decisions: Principle of Least Power governs expressive power of the chosen mechanism; Parse, Don't Validate governs conversion of raw input into trusted domain values.",fail,"Rejected hypothesis: Parsing narrows weak input into a less expressive trusted representation, confining arbitrary external forms to the boundary.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,"A parser cannot freeze current authorization, so the internal model must still permit an explicit rejection.","A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P108-principle-of-least-power-parse-don-t-validate.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P109,Principle of Least Power,"Tell, Don't Ask",pass,Both affect capability exposed by a state owner.,fail,Rejected hypothesis: A meaningful command grants the caller only the valid transition instead of broad getters and setters that permit arbitrary mutation sequences.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P109-principle-of-least-power-tell-don-t-ask.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P110,Principle of Least Power,Law of Demeter,pass,Both affect breadth of a collaborator interface.,fail,Rejected hypothesis: Least Power limits what an immediate interface can do; Demeter limits which internal relationships the caller can reach through it.,fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P110-principle-of-least-power-law-of-demeter.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P111,Principle of Least Power,Boy Scout Rule,fail,Distinct operational decisions: Principle of Least Power governs expressive power of the chosen mechanism; Boy Scout Rule governs scope and timing of incidental local cleanup. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply Principle of Least Power to expressive power of the chosen mechanism while no decision concerning scope and timing of incidental local cleanup arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
